Cat_name,Status
Collated Fasteners_Collated Nails_Framing Nails,FALSE
Taps & Dies_Taps_Pipe Taps,TRUE
Manual Sanding Products_Sanding Cords,FALSE
Decking & Fencing_Materials_Decking,FALSE
Screws_Lag Screws,FALSE
Safety Footwear_Men's Safety Shoes,FALSE
Windows_Double Hung Windows,FALSE
Safety Masks & Respirators_Cartridges & Filters,FALSE
Faucet Mount Filters,FALSE
Flooring_Flooring Materials_Bamboo Flooring,FALSE
Decking & Fencing_Railings & Pickets_Weatherproofing,FALSE
Kitchen & Bar Sinks_Kitchen Sinks_Single Bowl,TRUE
Chimes,FALSE
Workholding Devices_Clamps_Squeeze Action Clamps,TRUE
Wrenches_Open-End Wrenches,TRUE
Ceiling Mounted Storage Racks,TRUE
Flooring_Accessories_Adhesive Remover,FALSE
Bathroom Sinks_Console Sinks,FALSE
Portable Dryers,TRUE
Saw Blades Parts & Accessories_Blades_Band Saw Blades,FALSE
Range Parts & Accessories_Accessories,FALSE
Nuts_Tube Nuts_Flared Nuts,FALSE
Timers,TRUE
Vacuum Parts & Accessories_Central Vacuum Installation Parts,FALSE
Masonry Tools_String Lines,FALSE
Battery Packs & Chargers_Charger & Converters_Battery Converters,TRUE
Punches_Transfer Punches,TRUE
Mailbox Accessories & Hardware_Mailbox Posts,TRUE
Nails_Sinker Nails,FALSE
Incandescent Bulbs,FALSE
Sanders_Spindle Sanders,TRUE
Coffee & Espresso Machine Parts & Accessories_Coffee Machine Accessories_Coffee Filters_Reusable Filters,FALSE
Food Waste Disposer Parts & Accessories,FALSE
Faucet Balls,FALSE
Built-In Wine Cellars,TRUE
Emergency Light Sticks,FALSE
Manual Sanding Products_Sanding Blocks,FALSE
Cable Straps,TRUE
Drills_Core Drills,TRUE
Coffee & Espresso Machine Parts & Accessories_Coffee Machine Accessories_Coffee Filters_Disposable Filters,FALSE
Drill Presses_Magnetic Drill Presses,TRUE
Pipe Clamps,TRUE
Roofing_Gutters & Accessories_Downspouts,FALSE
Screwdrivers & Nut Drivers_Multi-Bit Drivers,TRUE
Manual Sanding Products_Sanding Tapes,FALSE
Bathroom Sink Faucets & Parts_Replacement Parts,TRUE
Digital Calipers,TRUE
Eyewash Solution,FALSE
Head Protection_Welding Helmets,FALSE
Nuts_T-Slot Nuts,FALSE
Coffee & Espresso Machine Parts & Accessories_Coffee & Espresso Machine Cleaning Products,FALSE
Rakes,TRUE
Cable Insertion & Extraction Tools_Punchdown Tools,TRUE
Screws_Screw Eyes,FALSE
Solder & Flux_Solder,FALSE
Cable Raceways,TRUE
Handheld Flashlights,TRUE
Wallpaper Borders,FALSE
Surveillance Video Equipment_Video Transmission Systems,TRUE
Smoke Detectors & Fire Alarms,TRUE
Millwork_Columns,FALSE
Replacement Water Filters_Replacement Faucet Water Filters,FALSE
Anchors_Toggle Anchors,FALSE
Wallpaper Removers,FALSE
Screwdriver Accessories_Screwdriver Bits_Extension Bits,TRUE
Replacement Water Filters_Replacement Countertop Water Filters,FALSE
Sockets & Socket Sets_Individual Drive Sockets_Star Drive,TRUE
Nuts_Push Nuts,FALSE
Flooring_Accessories_Acid Cleaners,FALSE
Cutters_Tile Cutters,TRUE
Kits,FALSE
Saw Blades Parts & Accessories_Blades_Scroll Saw Blades,FALSE
Rivets_Solid Rivets,FALSE
Wrenches_Combination Wrenches,TRUE
Sockets & Socket Sets_Individual Drive Sockets_Square Drive,TRUE
Weatherproofing_Pipe Coverings,FALSE
Flooring_Accessories_Grout,FALSE
Vacuum Parts & Accessories_Replacement Batteries & Parts_Lamp Bulbs,FALSE
Chisels_Masonry Chisels,TRUE
Night Lights,FALSE
Bathroom Sinks_Vessel Sinks,FALSE
Emergency Survival Kits,FALSE
Threaded Rods & Studs_Fully Threaded Rods & Studs,FALSE
Washers_Beveled Washers,FALSE
Coffee & Espresso Machine Parts & Accessories_Coffee Machine Accessories_Thermal Carafes,TRUE
Microwave Oven Parts & Accessories_Turntables,TRUE
Surveillance Video Equipment_Surveillance DVR Kits,TRUE
Power Finishing Tool Parts & Accessories_Power Polishing Parts & Accessories_Buffing Kits,FALSE
Latches,TRUE
Planers_Benchtop Planers,TRUE
Paint Scrapers,FALSE
Bolts_Carriage Bolts,FALSE
Lighting Accessories_Lamp Oil,TRUE
